,after2014,after2014_log_prob,before2014,before2014_log_prob
0,thing,-2.04038210584325,pay,-2.26002547857525
1,product,-2.089979046982622,think,-2.34703685556488
2,awesome,-2.1070734803419224,world,-2.3935568711997726
3,office,-2.1601833056558704,challenge,-2.417654422778833
4,feel,-2.1972245773362196,need,-2.417654422778833
5,need,-2.235690858164016,experience,-2.4423470353692047
6,change,-2.2963154799804504,promotion,-2.4676648433534947
7,pay,-2.2963154799804504,salary,-2.4676648433534947
8,world,-2.317368889178283,long,-2.4936403297567553
9,fun,-2.3388750943992465,office,-2.4936403297567553
